Year;Day;Date;Number_1;Number_2;Number_3;Number_4;Number_5;Bonus_Ball;Jackpot;Outcome
2025;Tuesday;8 April 2025;1;16;23;37;42;6;R110,904,086.10;Won
2025;Friday;4 April 2025;8;20;35;36;38;2;R101,298,652.87;Roll
2025;Tuesday;1 April 2025;1;6;12;13;36;7;R90,347,329.49;Roll
2025;Friday;28 March 2025;1;6;13;14;35;3;R82,421,422.17;Roll
2025;Tuesday;25 March 2025;22;32;38;39;40;10;R73,647,329.74;Roll
2025;Friday;21 March 2025;9;16;24;32;50;19;R67,000,000;Roll
2025;Tuesday;18 March 2025;15;22;29;35;43;10;R57,800,318.05;Roll
2025;Friday;14 March 2025;7;32;38;45;46;2;R52,000,000;Roll
2025;Tuesday;11 March 2025;8;28;30;44;48;2;R42,592,219.27;Roll
2025;Friday;7 March 2025;12;13;16;28;46;3;R36,856,449.42;Roll
2025;Tuesday;4 March 2025;20;23;35;43;50;15;R30,683,508.62;Roll
2025;Friday;28 February 2025;11;19;20;21;44;6;R24,958,675.04;Roll
2025;Tuesday;25 February 2025;18;23;27;34;44;18;R18,820,734.27;Roll
2025;Friday;21 February 2025;2;3;15;17;42;5;R13,975,244.77;Roll
2025;Tuesday;18 February 2025;16;19;34;36;43;16;R9,110,248.22;Roll
2025;Friday;14 February 2025;2;8;25;37;44;18;R4,806,831.46;Roll
2025;Tuesday;11 February 2025;7;15;21;23;33;13;R4,124,764.70;Won
2025;Friday;7 February 2025;7;30;34;42;49;1;R19,927,387.50;Won
2025;Tuesday;4 February 2025;19;23;27;41;49;8;R14,360,025.40;Roll
2025;Friday;31 January 2025;3;27;36;40;47;15;R9,690,015.75;Roll
2025;Tuesday;28 January 2025;17;21;26;42;43;14;R4,460,619.37;Roll
2025;Friday;24 January 2025;12;15;24;43;49;18;R102,670,563.40;Won
2025;Tuesday;21 January 2025;1;2;15;23;37;4;R93,412,308.12;Roll
2025;Friday;17 January 2025;4;11;27;39;40;8;R86,522,804.80;Roll
2025;Tuesday;14 January 2025;20;23;30;34;44;7;R79,095,543.13;Roll
2025;Friday;10 January 2025;10;14;33;44;47;2;R73,270,242.96;Roll
2025;Tuesday;7 January 2025;9;12;27;39;42;18;R66,277,347.09;Roll
2025;Friday;3 January 2025;6;9;10;25;47;1;R60,614,591.68;Roll
2024;Tuesday;31 December 2024;1;26;31;32;47;2;R55,000,000;Roll
2024;Friday;27 December 2024;6;10;23;30;47;18;R43,067,771.62;Roll
2024;Tuesday;24 December 2024;5;7;8;12;18;9;R38,421,004.42;Roll
2024;Friday;20 December 2024;1;16;20;41;48;8;R33,303,230.88;Roll
2024;Tuesday;17 December 2024;12;21;28;32;40;12;R28,114,569.88;Roll
2024;Friday;13 December 2024;3;28;39;40;49;14;R23,908,484.11;Roll
2024;Tuesday;10 December 2024;1;6;29;39;44;17;R19,022,139.69;Roll
2024;Friday;6 December 2024;5;15;19;32;35;11;R14,641,871.24;Roll
2024;Tuesday;3 December 2024;6;9;11;23;27;10;R9,909,922.07;Roll
